번호                                                                                                                                       (01.6월 기준),주소
410,서울특별시 용산구 용호로 원효로1가 선린교차로 현수막 거치대옆(남영지하차도입구)
411,"서울특별시 용산구 용호로 전자상가관광터미널(신용산역3번출구방면) 버스정류장(03-5,03-558)"
412,서울특별시 용산구 용호로 용산전자상가 삼구빌딩 하나은행(원효대교북단방면) 버스정류장(03-138)
413,서울특별시 용산구 백범로 삼각지 고가 등기소 건너편 마을버스정류장(03-55)
414,서울특별시 용산구 백범로 (구)용산구청 보건분소 앞 횡단보도
415,서울특별시 용산구 백범로 효창공원역 번출구(효창동물병원)
416,서울특별시 용산구 백범로 효창공원역 3번출구(버스정류장03-180)
417,서울특별시 용산구 백범로 푸르지오아파트앞 버스정류장(03-178)
418,서울특별시 용산구 만리재로길 손기정 버스정류장(03-8)(육교밑 사과나무부동산앞)
419,서울특별시 용산구 이촌로 현대아파트 버스정류장(03-3)
420,서울특별시 용산구 이촌로 강촌아파트 버스정류장(03-1)
421,서울특별시 용산구 이촌로 신용산 초등학교 건너편(이상윤동물병원앞)
422,서울특별시 용산구 이촌로 이촌파출소앞 버스정류장(03-17)
423,서울특별시 용산구 이촌로 동부이촌동 국민은행앞 
424,"서울특별시 용산구 이촌로 이촌동두산위브아파트앞 버스정류장(03-15,03-733)"
425,서울특별시 용산구 이촌로 두산위브아파트앞 횡단보도
426,서울특별시 용산구 이촌로 한강맨션앞 버스정류장(이민재 소아청소년과)(03-18)
